date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:41	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:12:41%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D236&format=xml	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index.1cca7ec.delayed	(from https://www.cybelius.fr/?p=236)
22:12:45	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:12:43%20GMT	https://www.cybelius.fr/?page_id=3781%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexdcc8.html	(from https://www.cybelius.fr/?page_id=3781%26lang=en)
22:12:51	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:12:48%20GMT	https://www.cybelius.fr/?page_id=3721%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index0548.html	(from https://www.cybelius.fr/?page_id=3721%26lang=en)
22:12:56	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:12:52%20GMT	https://www.cybelius.fr/?page_id=3783%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index0030.html	(from https://www.cybelius.fr/?page_id=3783%26lang=en)
22:12:58	428/428	---M--	503	error ('Service%20Unavailable')	text/html	date:Tue,%2014%20Sep%202021%2014:12:43%20GMT	https://www.cybelius.fr/?tag=smart-grids	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexede3.html	(from https://www.cybelius.fr/?p=236)
22:12:58	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:12:57%20GMT	https://www.cybelius.fr/?page_id=3789%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index2c6c.html	(from https://www.cybelius.fr/?page_id=3789%26lang=en)
22:12:59	43487/43487	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:12:43%20GMT	https://www.cybelius.fr/?tag=electricite	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index651b.html	(from https://www.cybelius.fr/?p=236)
22:12:59	44779/44779	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:12:43%20GMT	https://www.cybelius.fr/?tag=hacking	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index736c.html	(from https://www.cybelius.fr/?p=236)
22:13:01	2757/2757	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:12:59%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fpage_id%3D2843	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexfc77.json	(from https://www.cybelius.fr/?page_id=2843)
22:13:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:00%20GMT	https://www.cybelius.fr/?p=2843	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexab62.html	(from https://www.cybelius.fr/?page_id=2843)
